iter	RMSE
0	15.00566962
1	14.60702633
2	14.21918999
3	13.84107186
4	13.47915355
5	13.15800386
6	12.83883885
7	12.52714306
8	12.27023731
9	11.9724026
10	11.68456994
11	11.43825559
12	11.20837011
13	10.9616731
14	10.72012844
15	10.47390034
16	10.25407366
17	10.06083616
18	9.847661615
19	9.65116691
20	9.473615152
21	9.29495401
22	9.110762741
23	8.942476831
24	8.77523984
25	8.640445233
26	8.487736518
27	8.351619456
28	8.225064446
29	8.095586518
30	7.996001088
31	7.885913315
32	7.770420016
33	7.652469574
34	7.541985415
35	7.443117437
36	7.340816413
37	7.257630289
38	7.169913505
39	7.08732425
40	7.015951003
41	6.941631749
42	6.86376337
43	6.80599218
44	6.739364263
45	6.673350864
46	6.612229088
47	6.55883117
48	6.507549997
49	6.448702188
50	6.400201725
51	6.353406159
52	6.305706313
53	6.256914071
54	6.210899619
55	6.175674889
56	6.139378344
57	6.103460564
58	6.069246689
59	6.029693051
60	5.996279093
61	5.959753339
62	5.921994069
63	5.887166442
64	5.856888776
65	5.828412721
66	5.801590339
67	5.772637403
68	5.749981959
69	5.73181566
70	5.706861349
71	5.683888536
72	5.660929847
73	5.638300561
74	5.617391529
75	5.600529523
76	5.582291726
77	5.57011553
78	5.552950607
79	5.538393053
80	5.52194804
81	5.512519087
82	5.499338226
83	5.483914444
84	5.466363307
85	5.45203906
86	5.443036106
87	5.431077435
88	5.416309479
89	5.399500197
90	5.389368416
91	5.379459973
92	5.370877599
93	5.362216863
94	5.353402802
95	5.344394446
96	5.336580072
97	5.32722954
98	5.320115156
99	5.313670245
100	5.30764976
101	5.299128377
102	5.29128218
103	5.285578095
104	5.273737208
105	5.262573068
106	5.252595477
107	5.244687002
108	5.237781732
109	5.230725623
110	5.223563344
111	5.214466653
112	5.209656853
113	5.202030877
114	5.196364698
115	5.192631076
116	5.18790015
117	5.183592128
118	5.173909627
119	5.162368016
120	5.159103904
121	5.152409994
122	5.148375129
123	5.1404555
124	5.132190395
125	5.128467353
126	5.12394601
127	5.118591656
128	5.113866095
129	5.109913595
130	5.105299474
131	5.101983554
132	5.094693382
133	5.090488472
134	5.086979885
135	5.080016065
136	5.075978034
137	5.074043937
138	5.069117328
139	5.062402633
140	5.055579075
141	5.054221564
142	5.047273121
143	5.042855334
144	5.038388497
145	5.036083425
146	5.027288988
147	5.023262976
148	5.020686807
149	5.015149248
150	5.008520129
151	5.005117407
152	5.004322929
153	5.000336586
