iter	Passed	Remaining
460	794	928
461	795	926
462	797	924
463	798	922
464	800	920
465	801	918
466	803	916
467	804	914
468	805	912
469	806	909
470	808	907
471	809	905
472	810	903
473	812	901
474	813	899
475	815	897
476	816	895
477	817	893
478	819	891
479	820	888
480	822	887
481	823	885
482	825	883
483	826	881
484	827	879
485	829	876
486	830	874
487	831	872
488	833	870
489	834	868
490	836	866
491	837	864
492	838	862
493	840	860
494	841	858
495	843	857
496	844	855
497	846	853
498	847	851
499	849	849
500	850	847
501	852	846
502	854	844
503	855	842
504	856	839
505	858	837
506	859	835
507	861	834
508	862	832
509	864	830
510	865	828
511	867	826
512	868	824
513	870	823
514	872	821
515	873	819
516	874	817
517	876	815
518	877	813
519	879	811
520	880	809
521	882	808
522	883	806
523	885	804
524	886	802
525	888	800
526	889	798
527	891	796
528	892	794
529	893	792
530	895	791
531	897	789
532	898	787
533	900	785
534	901	783
535	903	781
536	904	779
537	905	777
538	908	776
539	909	774
540	910	772
541	912	770
542	913	768
543	914	766
544	916	765
545	917	763
546	919	761
547	920	759
548	922	757
549	923	755
550	924	753
551	927	752
552	928	750
553	929	748
554	931	746
555	933	745
556	934	743
557	935	741
558	937	739
559	938	737
560	939	735
561	941	733
562	942	731
563	943	729
564	944	727
565	946	725
566	947	723
567	948	721
568	949	719
569	950	717
570	952	715
571	953	713
572	954	711
573	955	709
574	957	707
575	958	705
576	959	703
577	961	701
578	962	699
579	963	697
580	965	695
581	966	693
582	967	691
583	968	690
584	969	688
585	971	686
586	972	684
587	973	682
588	975	680
589	976	678
590	978	676
591	979	674
592	980	672
593	981	670
594	982	668
595	983	667
596	985	665
597	986	663
598	988	661
599	989	659
600	991	657
601	992	656
602	993	654
603	995	652
604	996	650
605	998	648
606	999	647
607	1000	645
608	1002	643
609	1003	641
610	1005	639
611	1006	637
612	1007	636
613	1008	634
614	1010	632
615	1011	630
616	1012	628
617	1014	626
618	1015	625
619	1016	623
620	1017	621
621	1018	618
622	1019	617
623	1021	615
624	1022	613
625	1023	611
626	1025	609
627	1026	608
628	1027	606
629	1028	604
630	1030	602
631	1031	600
632	1032	598
633	1033	596
634	1034	594
